cgpa,internships,projects,aptitude_score,communication_score,active_backlogs,dept,skill_level,placement_status
8.48,1,2,64,9,3,CSE,Low,1
6.43,2,1,44,7,0,EEE,Medium,1
6.13,0,3,48,3,0,CSE,High,1
7.76,0,3,61,4,4,ECE,High,0
8.6,3,7,77,2,1,MECH,High,1
7.12,2,0,80,7,2,CSE,Medium,1
9.9,4,4,81,2,0,ECE,High,1
8.42,2,1,72,2,0,MECH,Medium,1
7.4,4,7,91,3,4,CSE,Low,1
6.96,2,7,43,6,2,MECH,Low,1
6.72,4,5,41,3,0,EEE,Low,1
8.65,1,7,41,7,2,MECH,High,1
7.19,2,6,71,1,1,CSE,Medium,1
5.3,1,6,60,2,1,ECE,Medium,1
6.99,1,4,68,3,2,CSE,Low,1
8.69,1,5,60,8,1,EEE,Low,1
5.91,0,6,69,4,3,ECE,Medium,0
5.88,1,5,53,5,0,CSE,Low,1
7.66,3,0,70,2,4,CSE,Medium,1
7.66,3,6,66,1,3,CSE,High,1
8.17,0,6,86,1,3,CSE,High,1
9.25,2,8,77,1,2,CSE,Medium,1
8.62,3,8,41,1,0,CSE,Medium,1
8.06,0,7,53,5,2,ECE,Low,1
8.61,3,4,73,1,4,MECH,Medium,1
6.61,1,0,49,9,2,ECE,High,1
6.81,0,3,50,8,0,CSE,High,1
6.14,2,0,53,6,0,CSE,Medium,1
6.47,0,2,58,2,0,ECE,Low,1
8.15,0,9,40,6,0,ECE,Low,1
5.46,3,3,44,5,2,CSE,Medium,1
7.17,3,9,79,1,3,CSE,Medium,1
7.15,1,0,74,3,2,EEE,Low,1
7.47,1,5,81,9,1,CSE,Low,1
7.13,4,7,73,8,1,CSE,High,1
6.56,4,4,54,2,0,ECE,Medium,1
7.13,4,3,84,1,4,ECE,Low,1
9.47,1,6,51,9,1,CSE,Low,1
9.72,1,9,92,2,2,CSE,Medium,1
7.51,1,2,66,1,4,EEE,Low,0
8.12,4,5,66,2,2,CSE,Low,1
5.58,1,0,45,5,0,EEE,Medium,1
6.59,1,0,77,5,0,MECH,High,1
7.07,2,4,47,9,1,CSE,Medium,1
9.33,0,9,96,6,2,ECE,High,1
6.25,4,5,95,7,1,CSE,High,1
7.42,4,8,90,9,2,MECH,Medium,1
9.93,1,7,96,8,1,CSE,Low,1
7.6,3,2,84,2,4,CSE,Low,1
8.06,3,7,81,9,2,CSE,Low,1
5.6,3,1,59,4,2,ECE,Medium,1
9.13,0,2,85,3,0,EEE,Low,1
8.02,2,4,79,2,1,CSE,High,1
7.73,4,4,52,3,3,CSE,High,1
6.71,1,7,76,6,4,ECE,Medium,0
6.52,3,8,48,7,2,MECH,High,1
7.09,3,4,59,8,3,ECE,Low,1
8.41,4,4,91,1,0,EEE,Medium,1
9.38,1,3,58,2,3,MECH,High,1
7.55,3,2,66,7,3,MECH,Medium,1
8.35,4,1,52,3,0,ECE,Medium,1
7.93,1,2,41,5,1,CSE,Medium,1
8.12,0,2,75,8,3,CSE,Low,1
8.37,3,3,62,3,2,MECH,High,1
9.21,1,6,77,1,3,CSE,Medium,1
5.42,4,4,82,3,4,CSE,Low,1
8.82,3,2,91,2,1,EEE,Medium,1
6.22,4,3,78,9,2,ECE,Low,1
5.97,4,6,46,4,3,ECE,High,1
7.86,3,8,58,5,1,CSE,High,1
5.48,2,6,91,4,0,CSE,Low,1
9.43,3,9,43,6,3,MECH,Low,1
8.14,0,2,74,6,4,CSE,High,0
8.62,2,2,62,6,4,CSE,Medium,1
5.08,3,0,45,1,3,MECH,Medium,0
7.97,3,9,60,5,0,CSE,Medium,1
7.78,2,8,51,7,1,EEE,High,1
5.79,3,7,98,8,3,CSE,High,1
5.77,0,4,78,3,4,MECH,Medium,0
8.48,1,4,57,6,3,MECH,High,1
6.59,0,3,77,1,4,MECH,Low,0
8.46,2,0,78,7,4,ECE,Low,1
7.77,1,3,66,3,3,CSE,Medium,1
6.94,3,9,68,5,3,ECE,Medium,1
9.63,3,8,49,5,3,CSE,Low,1
9.21,1,4,69,4,1,ECE,Medium,1
6.79,3,5,81,4,2,CSE,High,1
5.22,1,7,62,6,1,ECE,Low,1
6.52,0,8,76,3,4,CSE,Low,0
6.99,0,4,40,2,2,ECE,Medium,0
8.52,4,6,59,8,0,CSE,High,1
